,date,RealPotentialGDP
65,1965-04-01,4335.758721867548
66,1965-07-01,4383.183671483537
67,1965-10-01,4430.655646635879
68,1966-01-01,4478.534802720446
69,1966-04-01,4526.5819491025895
70,1966-07-01,4575.410171895527
71,1966-10-01,4624.436665322361
72,1967-01-01,4675.219679762707
73,1967-04-01,4727.676231784834
74,1967-07-01,4781.42211583471
75,1967-10-01,4836.595272941184
76,1968-01-01,4891.940357443346
77,1968-04-01,4946.550003948992
78,1968-07-01,5001.696850677182
79,1968-10-01,5057.171937724266
80,1969-01-01,5110.844525651125
81,1969-04-01,5162.516814194178
82,1969-07-01,5211.7147729901535
83,1969-10-01,5258.881293630155
84,1970-01-01,5304.070427236833
85,1970-04-01,5347.137426621308
86,1970-07-01,5389.231531937598
87,1970-10-01,5431.208643669215
88,1971-01-01,5474.87007906867
89,1971-04-01,5521.341641373812
90,1971-07-01,5569.31405166131
91,1971-10-01,5617.418731483026
92,1972-01-01,5664.390952910088
93,1972-04-01,5709.165368090846
94,1972-07-01,5752.679084228243
95,1972-10-01,5796.132944078367
96,1973-01-01,5841.03291586763
97,1973-04-01,5889.392812192868
98,1973-07-01,5939.380852894292
99,1973-10-01,5991.006667040293
100,1974-01-01,6043.397120672455
101,1974-04-01,6095.982936382176
102,1974-07-01,6147.694309144877
103,1974-10-01,6198.816224406326
104,1975-01-01,6248.917232720529
105,1975-04-01,6298.432711607687
106,1975-07-01,6347.675316519736
107,1975-10-01,6396.919595825258
108,1976-01-01,6445.588479604985
109,1976-04-01,6494.429566085238
110,1976-07-01,6544.371352731758
111,1976-10-01,6594.937087377887
112,1977-01-01,6647.491698930122
113,1977-04-01,6701.716062884974
114,1977-07-01,6757.0967562431015
115,1977-10-01,6814.1531570700345
116,1978-01-01,6872.575345279892
117,1978-04-01,6931.925241334588
118,1978-07-01,6992.74508689625
119,1978-10-01,7054.840990784539
120,1979-01-01,7119.064398807631
121,1979-04-01,7181.644829231282
122,1979-07-01,7241.208245028411
123,1979-10-01,7296.781864358525
124,1980-01-01,7347.149549168098
125,1980-04-01,7391.46700811808
126,1980-07-01,7429.867945147332
127,1980-10-01,7470.008131567184
128,1981-01-01,7512.11129933645
129,1981-04-01,7560.539227980742
130,1981-07-01,7611.880792521194
131,1981-10-01,7666.119259547203
132,1982-01-01,7722.489798240562
133,1982-04-01,7780.375549942754
134,1982-07-01,7839.484376554082
135,1982-10-01,7899.930112733643
136,1983-01-01,7960.304811789574
137,1983-04-01,8022.2961828798
138,1983-07-01,8086.217728939871
139,1983-10-01,8152.89930992665
140,1984-01-01,8222.371869757519
141,1984-04-01,8294.655233715264
142,1984-07-01,8368.841866005307
143,1984-10-01,8444.488996893508
144,1985-01-01,8520.776500957843
145,1985-04-01,8597.529524582835
146,1985-07-01,8674.318459482858
147,1985-10-01,8750.702428211027
148,1986-01-01,8826.453132218017
149,1986-04-01,8901.68499377897
150,1986-07-01,8976.738814011691
151,1986-10-01,9051.447259571212
152,1987-01-01,9125.707602326183
153,1987-04-01,9199.50738407519
154,1987-07-01,9272.934427672935
155,1987-10-01,9346.699627107131
156,1988-01-01,9420.119450572343
157,1988-04-01,9494.034893815831
158,1988-07-01,9568.099297442566
159,1988-10-01,9642.593857538424
160,1989-01-01,9717.080217838988
161,1989-04-01,9791.538188786051
162,1989-07-01,9856.68941637144
163,1989-10-01,9932.27863322103
164,1990-01-01,10006.568518061174
165,1990-04-01,10079.193683426787
166,1990-07-01,10149.425927599625
167,1990-10-01,10217.2256257243
168,1991-01-01,10283.010879963522
169,1991-04-01,10346.85953271758
170,1991-07-01,10409.384121426969
171,1991-10-01,10471.642872616025
172,1992-01-01,10533.754722186615
173,1992-04-01,10596.596075537069
174,1992-07-01,10660.762526064991
175,1992-10-01,10725.823702416466
176,1993-01-01,10791.841303819188
177,1993-04-01,10859.658680230026
178,1993-07-01,10928.482735745143
179,1993-10-01,10998.28839890448
180,1994-01-01,11068.947189839351
181,1994-04-01,11140.343521101777
182,1994-07-01,11213.206264654
183,1994-10-01,11287.170028853692
184,1995-01-01,11361.822811563516
185,1995-04-01,11437.846726697
186,1995-07-01,11514.704122545112
187,1995-10-01,11593.611621701011
188,1996-01-01,11674.216233014651
189,1996-04-01,11760.113983771347
190,1996-07-01,11852.4657305572
191,1996-10-01,11951.077903825388
192,1997-01-01,12055.79474049288
193,1997-04-01,12165.991891986052
194,1997-07-01,12282.13962359006
195,1997-10-01,12403.091482098456
196,1998-01-01,12528.530888617106
197,1998-04-01,12658.992515858536
198,1998-07-01,12792.919917948158
199,1998-10-01,12930.454186030614
200,1999-01-01,13071.535334705315
201,1999-04-01,13215.180024333278
202,1999-07-01,13360.999676380285
203,1999-10-01,13508.997005238016
