PC1,PC2,PC3,FEDRates
-1.1105872817218698,0.19753039115619275,0.8672956802599949,11.23
-1.1056159421523135,0.19111344979106598,0.8711617459731954,11.64
-1.0780766320659314,0.3292419523988712,0.8235662886070872,11.3
-0.7601273271571741,-0.22018126332233007,1.0651704476982593,9.99
-0.45633160243169707,-0.919808673761679,1.1055239004937398,9.43
-0.6825051629228955,-0.740922375696017,0.9572275027944813,8.38
-0.5601126554910226,-0.6510649948206247,1.0362562275486495,8.35
-1.2656165144765064,0.38272265466430794,0.46267158275624193,8.5
-1.0181781723240146,0.026458473825666497,0.6453732168753602,8.58
-0.9685806804545635,0.15729787500267267,0.7642660965428658,8.27
-0.6470206123395904,-0.2535418719569936,0.958042545160631,7.97
-1.0240509794634525,-0.10962972827098684,0.6892618471093916,7.53
-0.3428890246345985,-0.7726178309356623,1.2317451485933248,7.88
-0.5939200709958345,-0.5580973972813241,0.8354302481672512,7.9
-0.6181070990830262,-0.38937379323197996,0.8528813867645355,7.92
-0.6281441728053782,-0.2113530799676886,0.8639859261257793,7.99
-1.0765990771158784,0.004386401242056846,0.3620721569681952,8.05
-0.5062777881302518,-0.45806586204779376,0.8777741285596505,8.27
-0.7186627047846037,-0.568490330107886,0.30059074600921104,8.14
-0.2553648204978626,-1.849689152846006,0.7677533042543079,7.86
-0.5026743566062857,-1.9467787837685957,0.4656427725027663,7.48
-0.5134602668842958,-1.4764057427160675,0.5031459577191854,6.99
-0.17162253764018404,-1.0129642290164873,1.0649604672627115,6.85
-0.5353065262150964,-0.2746355952823753,0.8530424185947661,6.92
-0.5046424039170854,-1.1556005465973276,0.510220454794285,6.56
-0.3746057975803553,-0.9614041473502901,0.6494146319215506,6.17
-0.6318956000461516,-0.31569616613523854,0.5894328580682615,5.89
-0.5523985280484479,-0.9528297100051577,0.4906107591946613,5.85
-0.6588999306767932,-0.8628117678919818,0.33786825484117355,6.04
-0.4886566855840738,-0.9885548637545203,0.3228337476929209,6.91
-1.0760609759034314,0.730432944879654,0.20933125787753407,6.43
-0.49802381111586597,-0.17971029330963723,0.6156004755438966,6.1
-0.6374356485846271,0.075837826729155,0.5271195005290187,6.13
-0.8623879780512679,0.4421386251762708,0.16470721745888667,6.37
-0.754343590185717,0.06320445030473466,0.18557960000132148,6.85
-0.34866455464845647,-0.2628792669747087,0.4957570397857213,6.73
-0.624152894953421,-0.15440802391052924,0.12937076415384927,6.58
-0.483232849572476,0.16078892310787848,0.31264207570426494,6.73
-0.9542588113301487,0.5412629120027803,-0.17106575607309243,7.22
-0.4805128105361716,-0.22492911896867093,0.16080072792007688,7.29
-0.31484995911696134,-0.6324344909963822,0.12374799163718225,6.69
-0.16907543327030722,-0.8865410704440916,0.1623171620565807,6.77
-0.3683192949435005,-0.20606423248833575,0.12480007038498353,6.83
-0.26694821088591286,-0.289133892778518,0.21623305309668414,6.58
-0.6895192970628867,0.3303057582328057,-0.09287633126199489,6.58
-0.7544700779671089,0.5699442588676997,-0.3188773355498057,6.87
-0.3792713548422333,-0.021962010036973924,0.05933925716156659,7.09
-0.7126881560164031,0.3914534779336582,-0.3192319827934463,7.51
-0.6675520056090627,0.37346559979050803,-0.2980897119148924,7.75
-0.8423848562831996,0.5039189357077469,-0.3443503650352714,8.01
-0.8477003200752586,0.9210335343604086,-0.35510868277683066,8.19
-0.532541053430866,0.15855150833754073,-0.2485151860300984,8.3
-0.134211704319399,-0.564923728814939,-0.05135036786735998,8.35
-0.40351475666115,-0.21283676150168096,-0.25959965385530687,8.76
-0.6926415715415466,0.7319225694613493,-0.2647675441841752,9.12
-0.7966216689630754,0.6865447559440311,-0.5078018099601097,9.36
-0.7986659034648486,0.9594454597264472,-0.5529330133215267,9.85
-0.7607216540002367,1.0743064672969402,-0.39585806821629205,9.84
-0.8616814957975224,1.0177261408250404,-0.5236580397198469,9.81
-0.38975039041174864,0.10440596946605098,-0.17945386619671705,9.53
