date,ConsumerPriceIndexAllItems,FEDRates,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
1965-04-01,0.319488817891375,4.09,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.8
1965-05-01,0.0,4.1,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.6
1965-06-01,0.6369426751592379,4.05,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.6
1965-07-01,0.0,4.09,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.4
1965-08-01,0.0,4.12,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.4
1965-09-01,0.0,4.02,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.3
1965-10-01,0.316455696202533,4.08,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.2
1965-11-01,0.0,4.1,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.1
1965-12-01,0.315457413249213,4.32,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.0
1966-01-01,0.0,4.42,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,4.0
1966-02-01,0.628930817610066,4.6,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,3.8
1966-03-01,0.312500000000001,4.66,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,3.8
1966-04-01,0.62305295950156,4.67,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.8
1966-05-01,0.0,4.9,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.9
1966-06-01,0.309597523219816,5.17,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.8
1966-07-01,0.308641975308643,5.3,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.8
1966-08-01,0.6153846153846179,5.53,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.8
1966-09-01,0.0,5.4,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.7
1966-10-01,0.611620795107036,5.53,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.7
1966-11-01,0.0,5.76,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.6
1966-12-01,0.0,5.4,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.8
1967-01-01,0.0,4.94,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.9
1967-02-01,0.0,5.0,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.8
1967-03-01,0.303951367781156,4.53,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.8
1967-04-01,0.3030303030303039,4.05,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.8
1967-05-01,0.302114803625359,3.94,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.8
1967-06-01,0.30120481927711,3.98,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.9
1967-07-01,0.3003003003003019,3.79,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
1967-08-01,0.299401197604792,3.9,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
1967-09-01,0.2985074626865679,3.99,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
1967-10-01,0.297619047619049,3.88,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,4.0
1967-11-01,0.2967359050445119,4.13,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,3.9
1967-12-01,0.295857988165682,4.51,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,3.8
1968-01-01,0.5899705014749289,4.61,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.7
1968-02-01,0.293255131964811,4.71,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.8
1968-03-01,0.292397660818715,5.05,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.7
1968-04-01,0.291545189504355,5.76,934.344,4.27179615288537,5.01465339985201,5142.033,25652.0,4946.550003948992,3.5
1968-05-01,0.290697674418606,6.12,934.344,4.27179615288537,5.01465339985201,5142.033,25652.0,4946.550003948992,3.5
1968-06-01,0.5797101449275389,6.07,934.344,4.27179615288537,5.01465339985201,5142.033,25652.0,4946.550003948992,3.7
1968-07-01,0.576368876080694,6.03,950.825,4.27179615288537,5.01465339985201,5181.859,25781.0,5001.696850677182,3.7
1968-08-01,0.2865329512894,6.03,950.825,4.27179615288537,5.01465339985201,5181.859,25781.0,5001.696850677182,3.5
1968-09-01,0.285714285714287,5.78,950.825,4.27179615288537,5.01465339985201,5181.859,25781.0,5001.696850677182,3.4
1968-10-01,0.569800569800572,5.91,968.03,4.27179615288537,5.01465339985201,5202.212,25813.0,5057.171937724266,3.4
1968-11-01,0.283286118980171,5.82,968.03,4.27179615288537,5.01465339985201,5202.212,25813.0,5057.171937724266,3.4
1968-12-01,0.2824858757062159,6.02,968.03,4.27179615288537,5.01465339985201,5202.212,25813.0,5057.171937724266,3.4
1969-01-01,0.2816901408450529,6.3,993.337,5.46238620028745,5.01465339985201,5283.597,26162.0,5110.844525651125,3.4
1969-02-01,0.561797752808991,6.61,993.337,5.46238620028745,5.01465339985201,5283.597,26162.0,5110.844525651125,3.4
1969-03-01,0.837988826815646,6.79,993.337,5.46238620028745,5.01465339985201,5283.597,26162.0,5110.844525651125,3.4
1969-04-01,0.5540166204986171,7.41,1009.02,5.46238620028745,5.01465339985201,5299.625,26181.0,5162.516814194178,3.4
1969-05-01,0.275482093663913,8.67,1009.02,5.46238620028745,5.01465339985201,5299.625,26181.0,5162.516814194178,3.4
1969-06-01,0.549450549450552,8.9,1009.02,5.46238620028745,5.01465339985201,5299.625,26181.0,5162.516814194178,3.5
1969-07-01,0.546448087431696,8.61,1029.956,5.46238620028745,5.01465339985201,5334.6,26281.0,5211.7147729901535,3.5
1969-08-01,0.5434782608695671,9.19,1029.956,5.46238620028745,5.01465339985201,5334.6,26281.0,5211.7147729901535,3.5
1969-09-01,0.270270270270271,9.15,1029.956,5.46238620028745,5.01465339985201,5334.6,26281.0,5211.7147729901535,3.7
