realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,2005-07-01,15968.843339929685
2025-01-25,2025-01-25,2005-10-01,16062.035941635966
2025-01-25,2025-01-25,2006-01-01,16152.594087556377
2025-01-25,2025-01-25,2006-04-01,16240.797141806725
2025-01-25,2025-01-25,2006-07-01,16324.825212317573
2025-01-25,2025-01-25,2006-10-01,16404.43190398646
2025-01-25,2025-01-25,2007-01-01,16484.888028846122
2025-01-25,2025-01-25,2007-04-01,16566.649925173915
2025-01-25,2025-01-25,2007-07-01,16649.553222510956
2025-01-25,2025-01-25,2007-10-01,16732.836359592024
2025-01-25,2025-01-25,2008-01-01,16815.605755710523
2025-01-25,2025-01-25,2008-04-01,16895.89498163922
2025-01-25,2025-01-25,2008-07-01,16973.238277426874
2025-01-25,2025-01-25,2008-10-01,17046.57639205772
2025-01-25,2025-01-25,2009-01-01,17114.50017798746
2025-01-25,2025-01-25,2009-04-01,17178.410062824227
2025-01-25,2025-01-25,2009-07-01,17238.915827103265
2025-01-25,2025-01-25,2009-10-01,17297.998502211558
2025-01-25,2025-01-25,2010-01-01,17357.90598072023
2025-01-25,2025-01-25,2010-04-01,17419.58971646213
2025-01-25,2025-01-25,2010-07-01,17484.478311341583
2025-01-25,2025-01-25,2010-10-01,17551.856970377874
2025-01-25,2025-01-25,2011-01-01,17621.83311229873
2025-01-25,2025-01-25,2011-04-01,17694.289734496488
2025-01-25,2025-01-25,2011-07-01,17769.091548927314
2025-01-25,2025-01-25,2011-10-01,17845.433170509936
2025-01-25,2025-01-25,2012-01-01,17923.095226368296
2025-01-25,2025-01-25,2012-04-01,18002.35699627026
2025-01-25,2025-01-25,2012-07-01,18082.64574996694
2025-01-25,2025-01-25,2012-10-01,18163.79376867256
2025-01-25,2025-01-25,2013-01-01,18246.42137114204
2025-01-25,2025-01-25,2013-04-01,18329.440468379704
2025-01-25,2025-01-25,2013-07-01,18412.744840976095
2025-01-25,2025-01-25,2013-10-01,18496.9339613381
2025-01-25,2025-01-25,2014-01-01,18582.016790391182
2025-01-25,2025-01-25,2014-04-01,18667.80786379332
2025-01-25,2025-01-25,2014-07-01,18755.213029168317
2025-01-25,2025-01-25,2014-10-01,18843.338140242082
2025-01-25,2025-01-25,2015-01-01,18931.98108998837
2025-01-25,2025-01-25,2015-04-01,19021.10442842243
2025-01-25,2025-01-25,2015-07-01,19110.07094297624
2025-01-25,2025-01-25,2015-10-01,19198.658547372055
2025-01-25,2025-01-25,2016-01-01,19286.92528144557
2025-01-25,2025-01-25,2016-04-01,19375.15066769707
2025-01-25,2025-01-25,2016-07-01,19463.204573454474
2025-01-25,2025-01-25,2016-10-01,19551.31061719399
2025-01-25,2025-01-25,2017-01-01,19640.089472818603
2025-01-25,2025-01-25,2017-04-01,19730.297923277758
2025-01-25,2025-01-25,2017-07-01,19823.602552180768
2025-01-25,2025-01-25,2017-10-01,19919.84185253096
2025-01-25,2025-01-25,2018-01-01,20019.170108155347
2025-01-25,2025-01-25,2018-04-01,20121.719174325484
2025-01-25,2025-01-25,2018-07-01,20226.065825727994
2025-01-25,2025-01-25,2018-10-01,20331.49540934404
2025-01-25,2025-01-25,2019-01-01,20437.92215362585
2025-01-25,2025-01-25,2019-04-01,20545.449540277205
2025-01-25,2025-01-25,2019-07-01,20653.07745811881
2025-01-25,2025-01-25,2019-10-01,20758.053508750327
2025-01-25,2025-01-25,2020-01-01,20861.83925495967
2025-01-25,2025-01-25,2020-04-01,20965.14022286726
2025-01-25,2025-01-25,2020-07-01,21065.72918800921
2025-01-25,2025-01-25,2020-10-01,21167.08999680052
2025-01-25,2025-01-25,2021-01-01,21261.600036399403
2025-01-25,2025-01-25,2021-04-01,21355.977382899266
2025-01-25,2025-01-25,2021-07-01,21454.647379006667
2025-01-25,2025-01-25,2021-10-01,21558.240246488447
2025-01-25,2025-01-25,2022-01-01,21667.693840715187
2025-01-25,2025-01-25,2022-04-01,21780.14110580312
2025-01-25,2025-01-25,2022-07-01,21892.76660831518
