realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1968-07-01,0.576368876080694
2025-01-25,2025-01-25,1968-08-01,0.2865329512894
2025-01-25,2025-01-25,1968-09-01,0.285714285714287
2025-01-25,2025-01-25,1968-10-01,0.569800569800572
2025-01-25,2025-01-25,1968-11-01,0.28328611898017103
2025-01-25,2025-01-25,1968-12-01,0.28248587570621597
2025-01-25,2025-01-25,1969-01-01,0.28169014084505295
2025-01-25,2025-01-25,1969-02-01,0.561797752808991
2025-01-25,2025-01-25,1969-03-01,0.837988826815646
2025-01-25,2025-01-25,1969-04-01,0.5540166204986171
2025-01-25,2025-01-25,1969-05-01,0.275482093663913
2025-01-25,2025-01-25,1969-06-01,0.549450549450552
2025-01-25,2025-01-25,1969-07-01,0.546448087431696
2025-01-25,2025-01-25,1969-08-01,0.5434782608695671
2025-01-25,2025-01-25,1969-09-01,0.27027027027027106
2025-01-25,2025-01-25,1969-10-01,0.539083557951485
2025-01-25,2025-01-25,1969-11-01,0.536193029490619
2025-01-25,2025-01-25,1969-12-01,0.533333333333318
2025-01-25,2025-01-25,1970-01-01,0.265251989389922
2025-01-25,2025-01-25,1970-02-01,0.5291005291005311
2025-01-25,2025-01-25,1970-03-01,0.5263157894736861
2025-01-25,2025-01-25,1970-04-01,0.785340314136129
2025-01-25,2025-01-25,1970-05-01,0.25974025974026105
2025-01-25,2025-01-25,1970-06-01,0.518134715025909
2025-01-25,2025-01-25,1970-07-01,0.515463917525775
2025-01-25,2025-01-25,1970-08-01,0
2025-01-25,2025-01-25,1970-09-01,0.512820512820515
2025-01-25,2025-01-25,1970-10-01,0.5102040816326551
2025-01-25,2025-01-25,1970-11-01,0.5076142131979551
2025-01-25,2025-01-25,1970-12-01,0.5050505050505071
2025-01-25,2025-01-25,1971-01-01,0
2025-01-25,2025-01-25,1971-02-01,0.251256281407036
2025-01-25,2025-01-25,1971-03-01,0.25062656641604103
2025-01-25,2025-01-25,1971-04-01,0.250000000000001
2025-01-25,2025-01-25,1971-05-01,0.498753117206985
2025-01-25,2025-01-25,1971-06-01,0.7444168734491341
2025-01-25,2025-01-25,1971-07-01,0.24630541871919698
2025-01-25,2025-01-25,1971-08-01,0.24570024570024698
2025-01-25,2025-01-25,1971-09-01,0
2025-01-25,2025-01-25,1971-10-01,0.24509803921568699
2025-01-25,2025-01-25,1971-11-01,0
2025-01-25,2025-01-25,1971-12-01,0.4889975550122271
2025-01-25,2025-01-25,1972-01-01,0
2025-01-25,2025-01-25,1972-02-01,0.486618004866182
2025-01-25,2025-01-25,1972-03-01,0.24213075060532802
2025-01-25,2025-01-25,1972-04-01,0.241545893719808
2025-01-25,2025-01-25,1972-05-01,0.24096385542168802
2025-01-25,2025-01-25,1972-06-01,0.24038461538461603
2025-01-25,2025-01-25,1972-07-01,0.479616306954438
2025-01-25,2025-01-25,1972-08-01,0.238663484486859
2025-01-25,2025-01-25,1972-09-01,0.238095238095239
2025-01-25,2025-01-25,1972-10-01,0.475059382422805
2025-01-25,2025-01-25,1972-11-01,0.23640661938534396
2025-01-25,2025-01-25,1972-12-01,0.23584905660377498
2025-01-25,2025-01-25,1973-01-01,0.23529411764706
2025-01-25,2025-01-25,1973-02-01,0.704225352112679
2025-01-25,2025-01-25,1973-03-01,0.9324009324009359
2025-01-25,2025-01-25,1973-04-01,0.6928406466512729
2025-01-25,2025-01-25,1973-05-01,0.6880733944954159
2025-01-25,2025-01-25,1973-06-01,0.6833712984054549
2025-01-25,2025-01-25,1973-07-01,0.22624434389140397
2025-01-25,2025-01-25,1973-08-01,1.80586907449211
2025-01-25,2025-01-25,1973-09-01,0.22172949002217396
2025-01-25,2025-01-25,1973-10-01,0.884955752212393
2025-01-25,2025-01-25,1973-11-01,0.657894736842108
2025-01-25,2025-01-25,1973-12-01,0.653594771241818
2025-01-25,2025-01-25,1974-01-01,0.865800865800869
2025-01-25,2025-01-25,1974-02-01,1.2875536480686598
2025-01-25,2025-01-25,1974-03-01,1.2711864406779698
2025-01-25,2025-01-25,1974-04-01,0.41841004184100605
2025-01-25,2025-01-25,1974-05-01,1.24999999999999
2025-01-25,2025-01-25,1974-06-01,0.823045267489716
2025-01-25,2025-01-25,1974-07-01,0.8163265306122479
2025-01-25,2025-01-25,1974-08-01,1.21457489878543
2025-01-25,2025-01-25,1974-09-01,1.19999999999999
2025-01-25,2025-01-25,1974-10-01,0.9881422924901229
2025-01-25,2025-01-25,1974-11-01,0.7827788649706491
2025-01-25,2025-01-25,1974-12-01,0.776699029126217
2025-01-25,2025-01-25,1975-01-01,0.38535645472061797
2025-01-25,2025-01-25,1975-02-01,0.7677543186180329
2025-01-25,2025-01-25,1975-03-01,0.380952380952383
2025-01-25,2025-01-25,1975-04-01,0.379506641366226
2025-01-25,2025-01-25,1975-05-01,0.567107750472592
2025-01-25,2025-01-25,1975-06-01,0.751879699248124
2025-01-25,2025-01-25,1975-07-01,1.1194029850746299
2025-01-25,2025-01-25,1975-08-01,0.18450184501845102
2025-01-25,2025-01-25,1975-09-01,0.5524861878452939
2025-01-25,2025-01-25,1975-10-01,0.549450549450552
2025-01-25,2025-01-25,1975-11-01,0.7285974499089279
2025-01-25,2025-01-25,1975-12-01,0.36166365280289503
