ConsumerPriceIndexAllItems,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
0.0,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,5.1
0.321543408360109,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,4.8
0.0,697.319,1.27891156462591,5.01465339985201,4259.046,22075.0,4242.341352210441,5.0
0.0,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,4.9
0.0,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,5.1
0.320512820512822,717.79,1.58516926383662,5.01465339985201,4362.111,22547.0,4289.638061974458,4.7
0.319488817891375,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.8
0.0,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.6
0.6369426751592379,730.191,1.58516926383662,5.01465339985201,4417.225,22770.0,4335.758721867548,4.6
0.0,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.4
0.0,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.4
0.0,749.323,1.58516926383662,5.01465339985201,4515.427,23198.0,4383.183671483537,4.3
0.316455696202533,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.2
0.0,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.1
0.315457413249213,771.857,1.58516926383662,5.01465339985201,4619.458,23656.0,4430.655646635879,4.0
0.0,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,4.0
0.628930817610066,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,3.8
0.312500000000001,795.734,3.0150753768844,5.01465339985201,4731.888,24172.0,4478.534802720446,3.8
0.62305295950156,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.8
0.0,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.9
0.309597523219816,804.981,3.0150753768844,5.01465339985201,4748.046,24191.0,4526.5819491025895,3.8
0.308641975308643,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.8
