antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'RealGDP_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'RealGDP_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'RealGDPPerCapita_High'}),0.32978723404255317,0.3404255319148936,0.13829787234042554,0.4193548387096775,1.2318548387096777,1.0,0.026029877772747873,1.1359338061465722,0.28083028083028105,0.26,0.11966701352757557,0.41280241935483875
frozenset({'RealGDPPerCapita_High'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.3404255319148936,0.32978723404255317,0.13829787234042554,0.40625,1.2318548387096775,1.0,0.026029877772747873,1.1287793952967526,0.285359801488834,0.26,0.11408730158730161,0.41280241935483875
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'RealGDPPerCapita_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'RealGDPPerCapita_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'RealPotentialGDP_High'}),0.32978723404255317,0.3404255319148936,0.13829787234042554,0.4193548387096775,1.2318548387096777,1.0,0.026029877772747873,1.1359338061465722,0.28083028083028105,0.26,0.11966701352757557,0.41280241935483875
frozenset({'RealPotentialGDP_High'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.3404255319148936,0.32978723404255317,0.13829787234042554,0.40625,1.2318548387096775,1.0,0.026029877772747873,1.1287793952967526,0.285359801488834,0.26,0.11408730158730161,0.41280241935483875
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'RealPotentialGDP_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'RealPotentialGDP_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
