PC1,PC2,PC3,FEDRates,Cluster
-2.048972818865708,-1.348092635825662,-1.1608218690342451,4.02,3
-2.1122576258579286,-0.7506619357082055,-1.1651054558663514,4.08,3
-2.0198785124814997,-1.3330448773855006,-1.272804653376044,4.1,3
-2.110143261773804,-0.7459413941192495,-1.2763082761208893,4.32,3
-2.0685072445058608,-0.978695913825302,-1.234003260030213,4.42,3
-2.2484632986698383,0.1918392322825258,-1.24133764693123,4.6,3
-2.1570042896205237,-0.3937817021364914,-1.2935136350869385,4.66,3
-2.2406671969195124,0.1827069078554142,-1.2424636422515496,4.67,3
-2.0614971252546903,-0.9736660055502414,-1.289679167847648,4.9,3
-2.150068171830949,-0.3974074655816338,-1.2941490225008672,5.17,3
-2.138008383655091,-0.3956294535246265,-1.2946963855890774,5.3,3
-2.2266671878335464,0.1720614966305865,-1.2441178721676156,5.53,3
-2.047887694964793,-0.9635514821791956,-1.4011071858058293,5.4,3
-2.213152164090975,0.1718404194018682,-1.3006280755572812,5.53,3
-2.035460540208647,-0.9568068284320552,-1.4569967763117484,5.76,3
-2.037286367384922,-0.9633748999182358,-1.3459585620205043,5.4,3
-2.012031333226522,-1.0207238970300507,-1.3069597240198267,4.94,3
-2.011118419638384,-1.0174398612869604,-1.362478831165449,5.0,3
-2.098970453477594,-0.4549147401172291,-1.3123605680802024,4.53,3
-2.0955633148068955,-0.4558264085251479,-1.3125167162344422,4.05,3
-2.0952987050922225,-0.4575207302762125,-1.3126676720941457,3.94,3
-2.0959486030001244,-0.4624888810127575,-1.2572986114355715,3.98,3
-2.0810362746275226,-0.4567268893812602,-1.3134149767159569,3.79,3
-2.080776404106105,-0.4583908656167609,-1.3135632289372354,3.9,3
-2.0805180850504867,-0.4600449076657823,-1.313710596070626,3.99,3
-2.07036888848804,-0.4647536562114924,-1.203200909553952,3.88,3
-2.069200717383184,-0.4631040591859449,-1.2588656372711005,4.13,3
-2.068034056677835,-0.4614447909253827,-1.3145295033280622,4.51,3
-2.207560085422272,0.4530518418336399,-1.2225845679319411,4.61,3
-2.122712408843942,-0.0993655977333648,-1.2159905867336096,4.71,3
-2.1215516576339755,-0.0976684903988498,-1.2716510815123971,5.05,3
-2.09595284664298,-0.0854151707831433,-1.3836612094079788,5.76,3
-2.0957078866530447,-0.0869836734346839,-1.383800955395458,6.12,3
-2.1810679105149733,0.4413258448047905,-1.225107739129316,6.07,3
-2.1677848004175777,0.4388356975687953,-1.2260628317000877,6.03,3
-2.082186770936503,-0.090997793809357,-1.3848918265898404,6.03,3
-2.081037235824558,-0.0892288687078135,-1.440545922753515,5.78,3
-2.1552841972284744,0.4388053671065231,-1.393978621409138,5.91,3
-2.072472011145405,-0.091449118475092,-1.4412217272019063,5.82,3
-2.0722407142780925,-0.09293013482298,-1.4413536785835668,6.02,3
-2.1153289156249038,0.1971884886020856,-1.3629100668724234,6.3,3
-2.196289312626946,0.7155857885083868,-1.3167233788799664,6.61,1
-2.276117700164226,1.2267347216609228,-1.2711824852498097,6.79,1
-2.187298714101525,0.7031190116758015,-1.3182395853575617,7.41,1
-2.1067929909146206,0.1876330324501485,-1.364166888781566,8.67,1
-2.1868918816027967,0.6913845133197849,-1.263473373491613,8.9,1
-2.175183708877822,0.6890663194176885,-1.2643978754796117,8.61,1
