antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'RealGDP_High'}),frozenset({'GDP_High'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'GDP_High'}),frozenset({'RealGDPPerCapita_High'}),0.3333333333333333,0.3333333333333333,0.3262411347517731,0.9787234042553192,2.936170212765958,1.0,0.21513002364066197,31.333333333333456,0.9891304347826086,0.9583333333333336,0.9680851063829788,0.9787234042553192
frozenset({'RealGDPPerCapita_High'}),frozenset({'GDP_High'}),0.3333333333333333,0.3333333333333333,0.3262411347517731,0.9787234042553192,2.936170212765958,1.0,0.21513002364066197,31.333333333333456,0.9891304347826086,0.9583333333333336,0.9680851063829788,0.9787234042553192
frozenset({'GDP_High'}),frozenset({'RealPotentialGDP_High'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'RealPotentialGDP_High'}),frozenset({'GDP_High'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'MedianConsumerPriceIndex_Medium'}),frozenset({'GDP_Low'}),0.6217494089834515,0.3333333333333333,0.3333333333333333,0.5361216730038022,1.6083650190114067,1.0,0.12608353033884948,1.437158469945355,1.0,0.5361216730038022,0.3041825095057033,0.768060836501901
frozenset({'GDP_Low'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3333333333333333,0.6217494089834515,0.3333333333333333,1.0,1.6083650190114067,1.0,0.12608353033884948,inf,0.5673758865248226,0.5361216730038022,1.0,0.768060836501901
frozenset({'RealGDP_Low'}),frozenset({'GDP_Low'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'GDP_Low'}),frozenset({'RealGDP_Low'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'RealGDPPerCapita_Low'}),frozenset({'GDP_Low'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'GDP_Low'}),frozenset({'RealGDPPerCapita_Low'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'GDP_Low'}),frozenset({'RealPotentialGDP_Low'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'RealPotentialGDP_Low'}),frozenset({'GDP_Low'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'GDP_Medium'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3333333333333333,0.6217494089834515,0.2115839243498818,0.6347517730496455,1.0209125475285172,1.0,0.004334121355397957,1.0355987055016183,0.030726256983240267,0.2845786963434022,0.0343750000000002,0.48752797777957557
frozenset({'GDP_Medium'}),frozenset({'RealGDP_Medium'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'RealGDP_Medium'}),frozenset({'GDP_Medium'}),0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.2222222222222222,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'RealGDPPerCapita_Medium'}),frozenset({'GDP_Medium'}),0.3333333333333333,0.3333333333333333,0.32269503546099293,0.9680851063829788,2.9042553191489366,1.0,0.21158392434988182,20.88888888888897,0.9835164835164835,0.9381443298969074,0.9521276595744681,0.9680851063829788
frozenset({'GDP_Medium'}),frozenset({'RealGDPPerCapita_Medium'}),0.3333333333333333,0.3333333333333333,0.32269503546099293,0.9680851063829788,2.9042553191489366,1.0,0.21158392434988182,20.88888888888897,0.9835164835164835,0.9381443298969074,0.9521276595744681,0.9680851063829788
frozenset({'GDP_Medium'}),frozenset({'RealPotentialGDP_Medium'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'RealPotentialGDP_Medium'}),frozenset({'GDP_Medium'}),0.3333333333333333,0.3333333333333333,0.32978723404255317,0.9893617021276595,2.9680851063829787,1.0,0.21867612293144206,62.66666666666626,0.9946236559139784,0.9789473684210526,0.9840425531914893,0.9893617021276595
frozenset({'InflationConsumerPrice_High'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.3262411347517731,0.6217494089834515,0.26832151300236406,0.8224637681159419,1.32282195404199,1.0,0.06548128028435857,2.1305543493993326,0.3622072803153256,0.3947826086956521,0.5306385869565214,0.6270113517385794
